PromptID,Generation,Similarity,WordCount,Vocabulary
0,0,1.0,12,12
0,1,0.5089154,13,12
0,2,0.41183877,12,12
0,3,0.38364306,12,10
0,4,0.43367833,10,9
0,5,0.21789894,11,10
0,6,0.10666113,9,9
0,7,0.08759645,8,8
0,8,0.082031906,7,7
0,9,0.012097228,13,12
0,10,0.0041300505,7,7
0,11,-0.03274913,9,7
0,12,-0.0056293476,3,3
0,13,-0.020859431,20,14
0,14,0.02096631,6,6
0,15,0.0639483,7,7
1,0,1.0,31,27
1,1,0.7358084,10,10
1,2,0.53017765,10,10
1,3,0.5360824,5,5
1,4,0.5360824,5,5
1,5,0.43347132,5,5
1,6,0.43347132,5,5
1,7,0.5772129,19,15
1,8,0.35417503,21,20
1,9,0.35063225,14,11
1,10,0.14400075,18,15
1,11,0.24785617,6,6
1,12,0.29556075,2,2
1,13,0.02797538,4,4
1,14,0.20749822,17,16
1,15,0.19479105,15,14
2,0,1.0,19,17
2,1,0.40892345,17,15
2,2,0.21720488,8,8
2,3,0.22499505,12,11
2,4,0.08216901,7,7
2,5,0.09829876,7,7
2,6,0.10993907,10,9
2,7,0.106225625,10,10
2,8,0.08014776,16,15
2,9,0.05839567,15,15
2,10,0.055730186,4,4
2,11,0.090459615,6,6
2,12,0.08371077,12,11
2,13,0.01085262,6,5
2,14,-0.033971585,6,6
2,15,-0.05220373,7,7
3,0,0.99999994,87,46
3,1,0.6543072,22,18
3,2,0.29612422,25,20
3,3,0.3378512,27,19
3,4,0.100546904,7,6
3,5,0.03312575,9,8
3,6,-0.03679964,3,3
3,7,0.10536668,1,1
3,8,0.27615613,5,5
3,9,-0.02051957,1,1
3,10,-0.0011125198,16,12
3,11,0.063011914,12,9
3,12,-0.026321407,5,5
3,13,0.00870912,6,6
3,14,-0.082928166,9,9
3,15,-0.03844154,3,3
4,0,1.0,63,46
4,1,0.66402316,11,11
4,2,0.58828896,14,14
4,3,0.6035252,10,10
4,4,0.3058192,20,17
4,5,0.2531116,4,4
4,6,0.31226784,8,8
4,7,0.12694594,8,8
4,8,0.08586754,15,14
4,9,-0.0065394025,9,9
4,10,-0.01981946,9,9
4,11,-0.071889155,12,12
4,12,-0.08027188,8,8
4,13,0.20329545,3,3
4,14,-0.067034036,13,11
4,15,-0.003469713,3,3
5,0,1.0000001,26,25
5,1,0.5265709,12,11
5,2,0.5305798,15,13
5,3,0.34821126,10,10
5,4,0.28638113,9,9
5,5,0.25942165,2,2
5,6,0.08038605,4,4
5,7,0.12830344,6,6
5,8,0.15533978,8,8
5,9,0.114497215,7,7
5,10,0.10551409,12,12
5,11,0.11831817,8,8
5,12,0.027384937,3,3
5,13,0.107697904,15,11
5,14,0.013715494,9,9
5,15,-0.014038539,9,9
6,0,0.99999994,30,24
6,1,0.57466006,14,13
6,2,0.22715485,14,12
6,3,0.12747893,8,8
6,4,0.11293524,12,11
6,5,0.009812394,15,14
6,6,0.03657631,11,10
6,7,-0.075384945,20,19
6,8,0.14897554,38,31
6,9,0.11573341,11,10
6,10,0.15006709,9,8
6,11,0.0597151,5,5
6,12,0.008486965,5,5
6,13,0.053076547,6,6
6,14,0.053076547,6,6
6,15,0.13972807,8,8
7,0,1.0,8,8
7,1,0.48845404,11,10
7,2,0.41913387,10,9
7,3,0.4650635,13,11
7,4,0.40224254,12,12
7,5,0.45505634,10,9
7,6,0.4751277,10,8
7,7,0.4192395,13,13
7,8,0.39676446,4,4
7,9,0.38131836,10,8
7,10,0.16995916,6,6
7,11,0.13425523,5,5
7,12,0.14727825,5,5
7,13,0.048868425,10,9
7,14,0.028239187,7,7
7,15,0.060677387,8,8
8,0,1.0000001,8,7
8,1,0.13252765,1,1
8,2,0.30426043,3,3
8,3,0.32204372,5,5
8,4,0.15073681,10,10
8,5,0.13746145,6,6
8,6,0.099975765,4,4
8,7,0.02481621,8,8
8,8,0.14067642,5,5
8,9,0.15807728,2,2
8,10,0.16393639,4,4
8,11,0.19503346,5,5
8,12,0.057033155,4,4
8,13,0.16245192,6,6
8,14,0.111154705,6,6
8,15,0.11057389,9,9
9,0,1.0,14,14
9,1,0.87312937,14,14
9,2,0.85930705,14,14
9,3,0.43702316,15,14
9,4,0.36375618,10,10
9,5,0.22091502,10,9
9,6,0.22091502,10,9
9,7,0.22091502,10,9
9,8,0.24414529,17,12
9,9,0.25666502,12,11
9,10,0.2862727,14,13
9,11,0.22075084,11,11
9,12,0.22195895,11,11
9,13,0.34938058,3,3
9,14,0.4018268,7,7
9,15,0.5195291,12,10
10,0,1.0000002,11,10
10,1,0.4628932,10,10
10,2,0.2720581,12,10
10,3,0.2720581,12,10
10,4,0.2720581,12,10
10,5,0.27953553,11,9
10,6,0.30698,14,12
10,7,0.28269285,7,7
10,8,0.32774794,10,9
10,9,0.33625698,6,6
10,10,0.27756414,7,7
10,11,0.2667691,7,7
10,12,0.25602055,7,7
10,13,0.07525694,6,6
10,14,0.17241895,7,7
10,15,0.046878833,9,9
11,0,1.0,21,13
11,1,0.75443685,20,18
11,2,0.6085467,20,15
11,3,0.6078092,11,10
11,4,0.57871485,9,9
11,5,0.5991299,6,6
11,6,0.6398699,12,11
11,7,0.6398699,12,11
11,8,0.5977383,13,12
11,9,0.56069887,11,10
11,10,0.5307609,14,14
11,11,0.5307609,14,14
11,12,0.5053579,12,12
11,13,0.29745075,7,7
11,14,0.18975905,11,11
11,15,0.25581992,19,18
12,0,1.0,34,28
12,1,0.75754476,16,15
